PERMNO,TICKER,Market Cap,Beta,PE Ratio,Forward Dividend 
25081,CMA,5.989,1.84,10.25,2.72
25232,OKE,13.655,2.01,20.66,3.74
25320,CPB,15.081,0.39,9.89,1.4
25419,WHR,11.227,2.06,13.72,4.8
25582,HRS,22.341,1.03,24.83,NA
25785,F,29.107,1.32,-11.26,NA
25953,DOV,16.2,1.37,24.39,1.98
26403,DIS,237.628,1.1,-118.63,NA
26710,L,10.96,0.76,-4.68,0.25
26825,K,23.43,0.58,21.6,2.28
27043,VAR,15.759,1.11,60.17,NA
27828,HPQ,27.105,1.01,9.28,0.7
27887,BAX,42.336,0.59,46.77,0.98
27959,DUK,61.786,0.34,30.05,3.86
27983,XRX,3.844,1.61,3.83,1
27991,PNW,9.23,0.36,15.45,3.13
28222,APD,62.71,0.93,33.18,5.36
28388,VNO,7.139,1.3,22.09,2.12
28484,HES,16.911,2.22,-4.94,1
28804,ALK,4.901,1.44,85.62,NA
29946,BF,30.21,0.79,32.98,NA
30681,OMC,12.123,0.71,13.1,2.6
30940,FLS,4.146,1.78,28.64,0.8
32707,HP,2.146,2.05,7.6,1
32803,HFC,4.384,1.66,-29.8,1.4
32870,HRL,27.799,-0.06,30.34,0.93
34032,MAS,15.151,1.5,12.04,0.54
34746,FITB,15.498,1.71,11.15,1.08
34817,NUE,13.822,1.42,27.58,1.61
34833,OXY,15.105,1.87,-1.26,0.04
35044,RF,11.642,1.66,18.12,0.62
35554,MTB,14.451,1.21,10.45,4.4
36003,ROL,17.899,0.51,83.89,0.32
36468,SHW,60.138,1.25,35.2,5.36
37584,BEN,11.363,1.3,11.18,1.08
38093,AJG,20.675,0.77,28.68,1.8
38156,WMB,26.292,1.8,204.39,1.6
38703,WFC,105.184,1.11,27.51,0.4
38762,NI,9.307,0.3,20.16,0.84
39490,APA,6.087,4.65,-0.64,0.1
39538,MAT,4.055,1.58,-13.43,NA
39642,BDX,75.082,0.98,91.37,3.16
39917,WY,21.955,1.95,71.58,NA
40125,DXC,5.163,2.41,-0.74,NA
40272,IFF,13.558,1.03,33.98,3
40539,TJX,69.062,0.71,41.66,NA
41080,CMI,31.29,1.18,18.78,5.24
41355,PH,26.722,1.63,22.43,3.52
42200,PKI,13.184,1.42,45.04,0.28
42585,SJM,12.891,0.14,16.52,3.6
42877,JBHT,14.707,1.01,30.49,1.08
42906,HBAN,10.387,1.52,12.86,0.6
43350,SWK,25.751,1.55,30.79,2.8
43449,MCD,152.994,0.66,32.52,5
43553,VFC,25.189,0.97,74.48,1.92
44206,ES,29.788,0.37,24.97,2.27
44601,AVY,9.931,1.16,19.38,2.32
44644,ADP,59.262,0.76,24.18,3.64
45356,JCI,30.558,1.24,39.16,1.04
45751,MMC,59.025,0.89,29.69,1.86
45911,SWKS,24.021,1.29,31.6,2
46578,CLX,28.134,0.26,30.35,4.44
46674,GPC,13.744,1.11,691.93,3.16
46703,HST,8.23,1.27,89.77,NA
46886,KLAC,31.176,1.33,26.04,3.6
47896,JPM,316.402,1.16,13.9,3.6
48486,LRCX,53.629,1.4,24.44,4.6
48506,MCO,51.529,1.17,30.09,2.24
48653,HUM,55.003,0.86,15.83,2.5
48725,UNP,129.217,1.05,23.63,3.88
49015,LNC,7.693,2.22,35.99,1.6
49154,TGT,65.862,0.8,24.39,2.72
49373,HRB,2.987,0.78,-416.25,1.04
49656,BK,33.787,1.03,8.22,1.24
49680,DHR,141.889,0.89,42.72,0.72
50876,LLY,144.073,0.22,24.49,2.96
52038,SYY,30.883,1.06,22.92,1.8
52090,MKC,26.348,0.39,35.58,2.48
52230,RHI,6.422,1.54,17.52,1.36
52329,JEC,11.438,1.35,14.09,NA
52476,EFX,19.98,1.15,67.06,1.56
52695,GWW,18.907,1.01,30.88,6.12
52708,LEN,22.326,1.63,11.08,0.5
52978,HAS,10.786,0.91,27.91,2.72
53065,IPG,7.526,1.05,16.58,1.02
53613,MU,53.061,1.48,23.99,NA
54148,PHM,11.899,1.43,10.47,0.48
55976,WMT,368.72,0.32,24.76,2.16
56274,CAG,18.15,0.79,21.66,0.85
56573,ITW,62.069,1.17,28.82,4.56
57568,BLL,24.15,0.52,67.72,0.6
57665,NKE,164.054,0.78,65.73,0.98
57817,JWN,2.652,1.3,-49.42,NA
57904,AFL,27.112,0.86,9.51,1.12
58246,NTRS,17.536,1.07,13.11,2.8
58413,FRT,6.216,0.86,22.99,4.24
58683,LUV,20.817,1.17,115.7,NA
58819,LNT,13.818,0.4,20.45,1.52
59010,GPS,5.61,1.51,-3.72,NA
59176,AXP,83.141,1.08,21.24,1.72
59248,TAP,8.324,0.88,-45.81,NA
59300,UDR,10.56,0.57,57.26,1.44
59328,INTC,204.952,0.69,8.85,1.32
59408,BAC,233.238,1.58,12.95,0.72
59459,TRV,30.363,0.87,16.99,3.4
60097,MDT,135.096,0.68,28.45,2.32
60206,SNA,8.381,1.37,14.83,4.32
60442,PNC,47.744,1.24,6.98,4.6
60506,PCAR,31.288,1.19,19.07,1.28
60599,CTL,12.117,0.96,9.83,1
60628,FDX,51.461,1.39,40.09,2.6
60871,ADI,43.005,1.31,38.97,2.48
60943,LEG,5.464,1.62,24.73,1.6
60986,NWL,7.328,1.05,-6.51,0.92
61241,AMD,90.262,2.29,149.57,NA
61399,LOW,116.172,1.43,25.92,2.2
61621,PAYX,26.531,0.89,24.33,2.48
61735,AON,44.813,0.88,25.87,1.76
61815,NBL,5.111,2.62,-0.77,0.28
62092,TMO,161.1,1.07,44.08,0.88
62148,CSX,57.486,1.21,20.18,1.04
62308,TMK,12.11,1.59,10.65,NA
64186,CI,66.97,0.66,12.99,0.04
64282,LB,7.482,1.49,-4.68,NA
64311,NSC,52.573,1.38,25.59,3.76
64390,PGR,52.112,0.54,11.93,0.4
64653,PSA,34.784,0.13,28.43,8
64936,D,66.001,0.41,139.29,3.76
64995,KEY,12.766,1.5,11.63,0.74
65402,AOS,8.034,1.25,27.32,0.96
65541,COO,16.016,0.88,43.71,0.06
65875,VZ,242.117,0.43,12.66,2.46
65947,HCN,19.1,0.47,18.58,NA
66093,T,215.175,0.66,18.41,2.08
66157,USB,57.648,1.15,11.97,1.68
66181,HD,295.682,1.06,27.3,6
66384,WDC,11.083,1.55,-51.94,NA
66800,AIG,27.549,1.45,-5.75,1.28
67598,HCP,17.977,0.22,39.53,NA
68144,STI,31.141,1.53,12.85,NA
69032,MS,81.645,1.46,9.38,1.4
69550,MYL,8.602,1.53,31.76,NA
69649,RJF,10.409,1.35,12.23,1.48
69796,STZ,33.372,0.9,596.1,3
70033,HOG,4.27,1.48,56.9,0.08
70332,APC,36.56,0,74.2,NA
70519,C,111.921,1.77,9.18,2.04
70578,ECL,55.998,0.95,-67.44,1.88
71175,UNM,3.937,1.66,4.11,1.14
71563,BBT,41.56,1.17,17.3,NA
72726,STT,24.79,1.51,11.27,2.08
73139,SYK,70.959,0.85,44.87,2.3
75034,BHGE,22.917,0.95,27.49,NA
75100,TIF,15.166,1,43.2,2.32
75107,ABMD,13.283,0.99,84.9,NA
75154,CCL,12.391,1.86,93.06,NA
75186,SCHW,45.008,1.2,14.63,0.72
75241,PXD,17.505,1.75,41.94,2.2
75341,DRE,14.382,0.67,38.43,0.94
75510,ADBE,208.765,0.91,57.43,NA
75607,SYMC,14.678,1.28,17.87,NA
75819,VTR,57.43,1.16,38.02,1.8
75825,EOG,28.774,1.91,81.15,1.5
75828,EA,39.19,0.93,20.07,NA
76076,CSCO,199.25,0.94,18.71,1.44
76082,COG,7.864,0.26,25.1,0.4
76095,HOLX,17.039,1.52,35.26,NA
76201,XLNX,25.558,0.99,40.93,1.52
76226,CBS,15.278,1.21,7.9,NA
76605,AZO,27.367,0.9,18.3,NA
76614,REGN,63.714,0.55,23.19,NA
76639,TSS,23.586,0.86,29.97,NA
76709,IDXX,31.813,0.85,70.76,NA
76712,AES,11.294,0.98,59.79,0.57
76744,VRTX,68.206,0.88,33.05,NA
76841,BIIB,45.901,0.54,8.52,NA
77129,KIM,5.389,1.13,5.49,NA
77178,QCOM,122.79,1.39,46.21,2.6
77182,PRGO,7.229,1.17,30.23,0.9
77274,GILD,85.378,0.66,12.29,2.72
77338,ROP,45.519,1.08,28.47,2.05
77357,SNPS,28.807,1.15,62.21,NA
77462,M,2.181,1.53,15.98,NA
77496,MHK,6.499,1.42,1.83,NA
77605,BSX,56.268,0.95,13.92,NA
77606,KSS,3.666,1.7,41.72,NA
77661,DHI,25.11,1.65,12.5,0.7
77702,SBUX,92.199,0.79,70.04,1.64
77730,TSN,23.753,0.64,13.12,1.68
78916,AGN,63.659,1.2,10.94,NA
78975,INTU,78.023,1.02,59.01,2.12
78987,MCHP,25.407,1.57,40.18,1.47
79057,CB,59.585,0.7,27.38,3.12
79103,ORLY,33.627,1.09,22.28,NA
79145,RCL,12.595,2.43,-5.45,3.12
79265,FLIR,5.027,1.55,36.94,0.68
79323,ALL,30.242,0.84,7.25,2.16
79545,BWA,8.651,1.74,19.32,0.68
79547,EQR,20.378,0.52,18.17,2.41
79637,UHS,9.597,1.11,13.36,NA
79678,ATVI,61.071,0.62,33.8,0.41
79698,IT,11.741,1.44,49.67,NA
79782,REG,7.381,0.88,80.86,2.38
